Word,Label
patient,O
:,O
i,O
have,O
tonsillitis,Disease_disorder
long,O
time,O
ago,O
and,O
every,Frequency
year,Duration
i,O
feel,O
allergic,Sign_symptom
problem,Sign_symptom
in,O
my,O
thort,Activity
.,O
about,Duration
7,Duration
days,Date
i,O
feel,O
same,O
allergic,Sign_symptom
problem,Sign_symptom
in,O
my,O
thort,Activity
and,O
tongue,O
i,O
have,O
1,Lab_value
canker,Sign_symptom
sore,Sign_symptom
.,O
i,O
take,O
just,O
anti,Medication
histamine,Medication
.,O
but,O
ago,O
i,O
treat,O
this,O
with,O
prednisone,Medication
.,O
does,Other_entity
it,Other_entity
covid,Other_entity
19,Other_entity
?,O
