Word,Label
patient,O
:,O
hi,O
",",O
may,O
i,O
answer,O
your,O
health,O
queries,O
right,O
now,O
?,O
please,O
type,O
your,O
query,O
here,O
.,O
.,O
.,O
i,O
am,O
42,Age
year,Age
old,Age
female,Sex
with,O
known,O
case,O
of,O
pneumonia,Disease_disorder
and,O
constant,Detailed_description
coughing,Sign_symptom
and,O
low,Lab_value
body,Diagnostic_procedure
temp,Diagnostic_procedure
of,O
35,Lab_value
.,Lab_value
3c,Lab_value
feeling,O
anemic,Sign_symptom
advise,O
please,O
?,O
currently,O
using,O
bioxin,Medication
and,O
guafinicine,Medication
/,Medication
codein,Medication
